conversa-cor;http://rcin.org.pl/Content/15440/KRIJP_32555_02092029_conversa-cor.djvu
cora-corruptela;http://rcin.org.pl/Content/15441/KRIJP_32556_02092030_cora-corruptela.djvu
corruptibile-crimen;http://rcin.org.pl/Content/15442/KRIJP_32557_02092031_corruptibile-crimen.djvu
criminalis-culus;http://rcin.org.pl/Content/15443/KRIJP_32558_02092032_criminalis-culus.djvu
cum-curia;http://rcin.org.pl/Content/15444/KRIJP_32559_02092033_cum-curia.djvu
curiaculum-czweczko;http://rcin.org.pl/Content/15445/KRIJP_32561_02092034_curiaculum-czweczko.djvu
dabilis-de;http://rcin.org.pl/Content/15446/KRIJP_32563_02092035_dabilis-de.djvu
de;http://rcin.org.pl/Content/15447/KRIJP_32564_02092036_de.djvu
dea-decima;http://rcin.org.pl/Content/15448/KRIJP_32565_02092037_dea-decima.djvu
decimalis-dedoceo;http://rcin.org.pl/Content/15449/KRIJP_32566_02092038_decimalis-dedoceo.djvu
deducibilis-defleo;http://rcin.org.pl/Content/15450/KRIJP_32568_02092039_deducibilis-defleo.djvu
deflexio-demanium;http://rcin.org.pl/Content/15451/KRIJP_32569_02092040_deflexio-demanium.djvu
demane-dependentia;http://rcin.org.pl/Content/15452/KRIJP_32570_02092041_demane-dependentia.djvu
dependo-desanctificatio;http://rcin.org.pl/Content/15453/KRIJP_32571_02092042_dependo-desanctifica.djvu
descendens-destitutus;http://rcin.org.pl/Content/15454/KRIJP_32572_02092043_descendens-destitutu.djvu
desto-devius;http://rcin.org.pl/Content/15455/KRIJP_32573_02092044_desto-devius.djvu
devoluta-dierius;http://rcin.org.pl/Content/15456/KRIJP_32574_02092045_devoluta-dierius.djvu
dies-dilatio;http://rcin.org.pl/Content/15457/KRIJP_32575_02092046_dies-dilatio.djvu
dilato-disbrigo;http://rcin.org.pl/Content/15458/KRIJP_32576_02092047_dilato-disbrigo.djvu
discalceator-dispergo;http://rcin.org.pl/Content/15459/KRIJP_32577_02092048_discalceator-disperg.djvu
disperse-distinguo;http://rcin.org.pl/Content/15460/KRIJP_32578_02092049_disperse-distinguo.djvu
disto-divortionales;http://rcin.org.pl/Content/15461/KRIJP_32579_02092050_disto-divortionales.djvu
divortium-dominicalis;http://rcin.org.pl/Content/15462/KRIJP_32580_02092051_divortium-dominicali.djvu
dominica-dubito;http://rcin.org.pl/Content/15470/KRIJP_32589_02092052_dominica-dubito.djvu
dubius-dysentericus;http://rcin.org.pl/Content/15472/KRIJP_32590_02092053_dubius-dysentericus.djvu
e-effectuosus;http://rcin.org.pl/Content/15474/KRIJP_32591_02092054_e-effectuosus.djvu
effectus-ego;http://rcin.org.pl/Content/15477/KRIJP_32592_02092055_effectus-ego.djvu
egredior-elusivus;http://rcin.org.pl/Content/15479/KRIJP_32593_02092056_egredior-elusivus.djvu
emaceratio-enormiter;http://rcin.org.pl/Content/15481/KRIJP_32594_02092057_emaceratio-enormiter.djvu
ens-equus;http://rcin.org.pl/Content/15483/KRIJP_32595_02092058_ens-equus.djvu
er-esse;http://rcin.org.pl/Content/15484/KRIJP_32596_02092059_er-esse.djvu
esseda-everto;http://rcin.org.pl/Content/15485/KRIJP_32598_02092060_esseda-everto.djvu
evibro-exactus;http://rcin.org.pl/Content/15486/KRIJP_32599_02092061_evibro-exactus.djvu
exacuo-exclamo;http://rcin.org.pl/Content/15487/KRIJP_32600_02092062_exacuo-exclamo.djvu
exclaratio-exerceo;http://rcin.org.pl/Content/15488/KRIJP_32601_02092063_exclaratio-exerceo.djvu
exemplifico-exlex
exemplifico-exlex;http://rcin.org.pl/Content/15489/KRIJP_32602_02092064_exemplifico-exlex.djvu
exnunc-expertus;http://rcin.org.pl/Content/15490/KRIJP_32603_02092065_exnunc-expertus.djvu
expetitio-exsaturo;http://rcin.org.pl/Content/15491/KRIJP_32604_02092066_expetitio-exsaturo.djvu
exscindo-extendo;http://rcin.org.pl/Content/15492/KRIJP_32605_02092067_exscindo-extendo.djvu
extense-exvium;http://rcin.org.pl/Content/15493/KRIJP_32606_02092068_extense-exvium.djvu
facio-facundus;http://rcin.org.pl/Content/15494/KRIJP_32607_02092070_facio-facundus.djvu
faecor - fastus;http://rcin.org.pl/Content/15728/KRIJP_32789_02092071_faecor-fastus.djvu
fatalis - feruno;http://rcin.org.pl/Content/15729/KRIJP_32791_02092072_fatalis-feruno.djvu
fero - ficus;http://rcin.org.pl/Content/15730/KRIJP_32793_02092073_fero-ficus.djvu
f - facio;http://rcin.org.pl/Content/15731/KRIJP_32794_02092069_f-facio.djvu
fide - filius;http://rcin.org.pl/Content/15732/KRIJP_32795_02092074_fide-filius.djvu
filix - flebiliter;http://rcin.org.pl/Content/15733/KRIJP_32796_02092075_filix-flebiliter.djvu
flecto - foralis;http://rcin.org.pl/Content/15734/KRIJP_32797_02092076_flecto-foralis.djvu
foramen - formosus;http://rcin.org.pl/Content/15735/KRIJP_32798_02092077_foramen-formosus.djvu
formula - foveo;http://rcin.org.pl/Content/15736/KRIJP_32799_02092078_formula-foveo.djvu
fractillus - fructuosus;http://rcin.org.pl/Content/15737/KRIJP_32800_02092079_fractillus-fructuosu.djvu
fructus - funditus;http://rcin.org.pl/Content/15738/KRIJP_32801_02092080_fructus-funditus.djvu
fundo - fututor;http://rcin.org.pl/Content/15739/KRIJP_34168_02092081_fundo-fututor.djvu
gabata - genu;http://rcin.org.pl/Content/15740/KRIJP_32803_02092082_gabata-genu.djvu
genuflecto - gluttio;http://rcin.org.pl/Content/15741/KRIJP_32804_02092083_genuflecto-gluttio.djvu
glutto - gratulans;http://rcin.org.pl/Content/15742/KRIJP_32805_02092084_glutto-gratulans.djvu
gratulanter - gyrus;http://rcin.org.pl/Content/15743/KRIJP_32806_02092085_gratulanter-gyrus.djvu
hac - hiematus;http://rcin.org.pl/Content/15744/KRIJP_32807_02092087_hac-hiematus.djvu
h - habitus;http://rcin.org.pl/Content/15745/KRIJP_32808_02092086_h-habitus.djvu
hiems - horreum;http://rcin.org.pl/Content/15876/KRIJP_32864_02092088_hiems-horreum.djvu
horribilis - hystrix;http://rcin.org.pl/Content/15877/KRIJP_32865_02092089_horribilis-hystrix.djvu
ignavia - imbuo;http://rcin.org.pl/Content/15878/KRIJP_32866_02092091_ignavia-imbuo.djvu
i - ignarus;http://rcin.org.pl/Content/15879/KRIJP_32867_02092090_i-ignarus.djvu
immuto - impendium;http://rcin.org.pl/Content/15880/KRIJP_32868_02092092_immuto-impendium.djvu
impendo - impollutus;http://rcin.org.pl/Content/15881/KRIJP_32869_02092093_impendo-impollutus.djvu
impono - imputridus;http://rcin.org.pl/Content/15882/KRIJP_32870_02092094_impono-imputridus.djvu
in1;http://rcin.org.pl/Content/15883/KRIJP_32871_02092095_in1.djvu
in2;http://rcin.org.pl/Content/15885/KRIJP_32872_02092096_in2.djvu
inabolitus - incitus;http://rcin.org.pl/Content/15886/KRIJP_32873_02092097_inabolitus-incitus.djvu
incivilis - increpatotius;http://rcin.org.pl/Content/15887/KRIJP_32874_02092098_incivilis-increpatot.djvu
increpito - indicium;http://rcin.org.pl/Content/15888/KRIJP_32875_02092099_increpito-indicium.djvu
indico - inductivus;http://rcin.org.pl/Content/15889/KRIJP_32877_02092113_indico-inductivus.djvu
inductor - infascino;http://rcin.org.pl/Content/15890/KRIJP_32878_02092114_inductor-infascino.djvu
infatigabilis - infirmus;http://rcin.org.pl/Content/15891/KRIJP_32879_02092115_infatigabilis-infirm.djvu
infiscatio - ingero;http://rcin.org.pl/Content/15892/KRIJP_32880_02092116_infiscatio-ingero.djvu
