Filename;Drawer;Base filename;First word;Last word;First word index;Last word index;Sequence;Error message
KRIJP_20396_03030460_byc8.djvu;Być8;byc8;być;być;8;8;58;
KRIJP_20397_03030461_byc9.djvu;Być9;byc9;być;być;9;9;59;
KRIJP_20389_03030451_byc10.djvu;Być10;byc10;być;być;10;10;60;
KRIJP_20390_03030452_byc11.djvu;Być11;byc11;być;być;11;11;61;
KRIJP_20391_03030453_byc12-bykowy.djvu;Być12 - Bykowy;byc12-bykowy;być;bykowy;12;1;62;
KRIJP_20398_03030462_byl-bzdzioszka.djvu;Był - Bździoszka;byl-bzdzioszka;był;bździoszka;1;1;63;
KRIJP_20399_03030464_c-caly.djvu;C - Cały;c-caly;c;cały;1;1;64;
KRIJP_20400_03030463_calycd-cel.djvu;Cały(c.d.) - Cel;calycd-cel;cały;cel;1;1;65;
KRIJP_20401_03030465_cela-cesarszczyk.djvu;Cela - Cesarszczyk;cela-cesarszczyk;cela;cesarszczyk;1;1;66;
KRIJP_20402_03030466_cesarz-cetnowy.djvu;Cesarz - Cętnowy;cesarz-cetnowy;cesarz;cętnowy;1;1;67;
KRIJP_20403_03030467_ch-chciec1.djvu;Ch - Chcieć1;ch-chciec1;ch;chcieć;1;1;68;
KRIJP_20404_03030468_chciec2.djvu;Chcieć2;chciec2;chcieć;chcieć;2;2;69;
KRIJP_20405_03030469_chciec3-checinski.djvu;Chcieć3 - Chęciński;chciec3-checinski;chcieć;chęciński;3;1;70;
KRIJP_20406_03030470_chec-chlodzic.djvu;Chęć - Chłodzić;chec-chlodzic;chęć;chłodzić;1;1;71;
KRIJP_20501_03030471_chlop-chmura.djvu;Chłop - Chmura;chlop-chmura;chłop;chmura;1;1;72;
KRIJP_20407_03030472_chmura.djvu;Chmura;chmura;chmura;chmura;1;1;73;
KRIJP_20408_03030473_chodziccd-chorastwo.djvu;Chodzić cd - Chorąstwo;chodziccd-chorastwo;chodzić cd;chorąstwo;1;1;74;
KRIJP_20429_03030474_chorazanka-chowac.djvu;Chorążanka - Chować;chorazanka-chowac;chorążanka;chować;1;1;75;
KRIJP_20430_03030475_chowacsie-chrzescija.djvu;Chować się - Chrześcijanin;chowacsie-chrzescija;chować się;chrześcijanin;1;1;76;
KRIJP_20431_03030476_chrzescijanin-chwaln.djvu;Chrześcijanin - Chwalny;chrzescijanin-chwaln;chrześcijanin;chwalny;1;1;77;
KRIJP_20500_03030477_chwal-chyzy.djvu;Chwał - Chyży;chwal-chyzy;chwał;chyży;1;1;78;
KRIJP_20502_03030479_ci-cialo.djvu;Ci - Cialo;ci-cialo;ci;cialo;1;1;79;
KRIJP_20503_03030478_cialowy-cielesnosc.djvu;Ciałowy - Cielesność;cialowy-cielesnosc;ciałowy;cielesność;1;1;80;
KRIJP_20504_03030480_cielesny-cieplowolny.djvu;Cielesny -- Ciepłowolny;cielesny-cieplowolny;cielesny;ciepłowolny;1;1;81;
KRIJP_20505_03030481_cieply-ciesn.djvu;Ciepły - Ciesń;cieply-ciesn;ciepły;ciesń;1;1;82;
KRIJP_20506_03030482_cietrzew-ciezko.djvu;Cietrzew - Ciężko;cietrzew-ciezko;cietrzew;ciężko;1;1;83;
KRIJP_20507_03030483_ciezkosc-cnota.djvu;Ciężkość - Cnota;ciezkosc-cnota;ciężkość;cnota;1;1;84;
